Time limit	X	X	X	X	X	X	O	O	O	O	O	O
Prompt language	English	English	English	Korean	Korean	Korean	English	English	English	Korean	Korean	Korean
Input modality	Text	Image	Text+Image	Text	Image	Text+Image	Text	Image	Text+Image	Text	Image	Text+Image
Model												
HyperClova X HCX-005	19.6%	15.2%	23.9%	15.2%	19.6%	19.6%	21.7%	17.4%	26.1%	13.0%	13.0%	8.7%
HyperClova X HCX-007	60.9%			65.2%			73.9%			67.4%		
HyperClova X HCX-007 (thinking: none)	69.6%			67.4%			67.4%			71.7%		
HyperClova X HCX-007 (thinking: low)	71.7%			67.4%			67.4%			69.6%		
HyperClova X HCX-007 (thinking: medium)	63.0%			71.7%			71.7%			60.9%		
HyperClova X HCX-007 (thinking: high)	63.0%			65.2%			69.6%			67.4%		
Solar Pro 2 250909	73.9%			76.1%			82.6%			76.1%		
Solar Pro 2 250909 (reasoning: high)	87.0%			89.1%			91.3%			93.5%		
												
AX-4.0	63.0%			58.7%			34.8%			54.3%		
EXAONE-4.0-32B	73.9%			69.6%			41.3%			43.5%		
HyperCLOVAX-SEED-Think-14B				60.9%								
VARCO-VISION-2.0-14B	63.0%	41.3%	60.9%	47.8%	43.5%	45.7%	60.9%	41.3%		52.2%	45.7%	52.2%
solar-pro-preview-instruct	34.8%			28.3%			26.1%			19.6%		
