Time limit	X	X	X	X	X	X	O	O	O	O	O	O
Prompt language	English	English	English	Korean	Korean	Korean	English	English	English	Korean	Korean	Korean
Input modality	Text	Image	Text+Image	Text	Image	Text+Image	Text	Image	Text+Image	Text	Image	Text+Image
Model												
GPT-5 Codex	97.80%	97.80%	100.00%	100.00%	100.00%	100.00%	97.80%	97.80%	100.00%	100.00%	100.00%	97.80%
GPT-5	95.70%	100.00%	95.70%	95.70%	97.80%	97.80%	97.80%	95.70%	100.00%	100.00%	100.00%	97.80%
GPT-5-mini	95.70%	91.30%	93.50%	93.50%	91.30%	93.50%	93.50%	93.50%	89.10%	93.50%	93.50%	93.50%
GPT-5-nano	93.50%	78.30%	95.70%	89.10%	67.40%	89.10%	91.30%	87.00%	91.30%	93.50%	78.30%	87.00%
gpt-oss-20B	93.50%			95.70%			95.70%			93.50%		
Grok 4	93.50%	56.50%	95.70%	97.80%	52.20%	95.70%	93.50%	26.10%	95.70%	95.70%	17.40%	91.30%
Grok 4 Fast	93.50%	32.60%	91.30%	95.70%	37.00%	97.80%	97.80%	30.40%	93.50%	95.70%	41.30%	97.80%
Qwen3 235B A22B	89.10%	73.90%	91.30%	82.60%	69.60%	84.80%	78.30%	78.30%	73.90%	82.60%	73.90%	87.00%
Qwen3 235B A22B Thinking 2507	93.50%	84.80%	91.30%	89.10%	97.80%	84.80%	91.30%	91.30%	89.10%	82.60%	95.70%	91.30%
Claude 4.5 Sonnet	73.90%	67.40%	78.30%	80.40%	71.70%	82.60%	73.90%	69.60%	76.10%	73.90%	65.20%	76.10%
Claude 4.5 Haiku	82.60%	65.20%	78.30%	80.40%	67.40%	82.60%	76.10%	60.90%	87.00%	78.30%	67.40%	78.30%
Claude 4.1 Opus	76.10%	56.50%	73.90%	80.40%	69.60%	76.10%	78.30%	60.90%	78.30%	78.30%	71.70%	76.10%
Gemini 2.5 Pro	95.70%	97.80%	93.50%	91.30%	93.50%	93.50%	95.70%	97.80%	93.50%	93.50%	93.50%	95.70%
Gemini 2.5 Flash	80.40%	84.80%	80.40%	71.70%	73.90%	71.70%	73.90%	80.40%	76.10%	76.10%	73.90%	69.60%
Deepseek R1 0528	93.50%			95.70%			97.80%			97.80%		
Deepseek V3.2 Exp	91.30%			87.00%			84.80%			84.80%		
GLM 4.6	87.00%			89.10%			26.10%			91.30%		
Magistral Medium 2506	71.70%			82.60%			76.10%			69.60%		
Magistral Medium 2506 (thinking)	84.80%			80.40%			80.40%			84.80%		
MiniMax M2	97.80%			82.60%			91.30%			87.00%		
Llama 4 Maverick	23.90%	65.20%	32.60%	21.70%	43.50%	28.30%	32.60%	56.50%	43.50%	28.30%	32.60%	30.40%
Llama 3.3 Nemotron Super 49B V1.5	80.40%			80.40%			84.80%			76.10%		
Kimi K2 0905	78.30%			78.30%			78.30%			73.90%		
Kimi K2 Thinking	91.30%			82.60%			21.70%			17.40%		
												
GPT-5 reasoning effort: minimal | text verbositiy: low	89.10%	82.60%	84.80%	82.60%	78.30%	80.40%	89.10%	80.40%	87.00%	82.60%	78.30%	80.40%
GPT-5 reasoning effort: low | text verbositiy: low	97.80%	93.50%	95.70%	93.50%	93.50%	93.50%	97.80%	91.30%	97.80%	95.70%	95.70%	95.70%
GPT-5 reasoning effort: medium | text verbositiy: low	97.80%	97.80%	97.80%	95.70%	95.70%	100.00%	95.70%	95.70%	100.00%	97.80%	97.80%	100.00%
GPT-5 reasoning effort: high | text verbositiy: low	97.80%	95.70%	95.70%	97.80%	100.00%	97.80%	97.80%	100.00%	97.80%	97.80%	93.50%	97.80%
GPT-5 reasoning effort: minimal | text verbositiy: medium	84.80%	82.60%	89.10%	87.00%	78.30%	80.40%	80.40%	84.80%	89.10%	82.60%	80.40%	82.60%
GPT-5 reasoning effort: low | text verbositiy: medium	93.50%	95.70%	95.70%	93.50%	93.50%	95.70%	93.50%	95.70%	93.50%	93.50%	95.70%	100.00%
GPT-5 reasoning effort: medium | text verbositiy: medium	95.70%	97.80%	95.70%	97.80%	97.80%	100.00%	97.80%	95.70%	100.00%	97.80%	95.70%	97.80%
GPT-5 reasoning effort: high | text verbositiy: medium	97.80%	95.70%	97.80%	97.80%	97.80%	100.00%	97.80%	93.50%	97.80%	97.80%	100.00%	97.80%
GPT-5 reasoning effort: minimal | text verbositiy: high	87.00%	87.00%	93.50%	87.00%	78.30%	80.40%	89.10%	84.80%	93.50%	78.30%	76.10%	80.40%
GPT-5 reasoning effort: low | text verbositiy: high	97.80%	95.70%	95.70%	95.70%	93.50%	97.80%	91.30%	93.50%	97.80%	95.70%	93.50%	95.70%
GPT-5 reasoning effort: medium | text verbositiy: high	100.00%	95.70%	95.70%	97.80%	97.80%	95.70%	97.80%	95.70%	97.80%	100.00%	100.00%	95.70%
GPT-5 reasoning effort: high | text verbositiy: high	97.80%	97.80%	97.80%	100.00%	97.80%	97.80%	97.80%	97.80%	95.70%	97.80%	97.80%	97.80%
