Time limit	X	X	X	X	X	X	O	O	O	O	O	O
Prompt language	English	English	English	Korean	Korean	Korean	English	English	English	Korean	Korean	Korean
Input modality	Text	Image	Text+Image	Text	Image	Text+Image	Text	Image	Text+Image	Text	Image	Text+Image
Model												
GPT-5 Codex		5808.1	6130.2	4333.3	7426.4	5393.7	4557.9	7498.3	5554.2	4893.7	6664.5	5528.3
GPT-5	2134.3	4839.8	3561.1	2521.6	4832.4	3882.0	2829.9	4505.5	3458.5	2483.8	4656.6	3510.4
GPT-5-mini	2297.2	2221.5	2012.6	2623.8	2875.0	2402.5	2174.1	2323.3	2140.9	2024.8	2227.3	2128.1
GPT-5-nano	3081.7	2816.4	3354.8	4527.9	3454.1	2860.4	3002.2	2964.5	2654.7	3803.1	3265.6	2809.5
gpt-oss-20B	1729.8			1304.6			1206.1			1861.2		
Grok 4	6234.1	16463.0	4371.7	6734.4	16875.1	6302.7	7152.6	13833.4	6287.1	5716.9	13739.6	5218.8
Grok 4 Fast	840.3	2866.6	861.6	1106.7	2596.5	877.2	778.9	3083.4	885.3	1176.7	2815.9	856.0
Qwen3 235B A22B	2890.0	3888.1	2309.5	2735.6	6997.7	5865.2	4935.8	3186.5	2737.2	2793.4	9029.5	2069.4
Qwen3 235B A22B Thinking 2507	12616.1	9157.2	9288.6	9665.3	10350.5	6639.4	12730.0	15211.4	12121.9	11746.0	9137.2	8747.3
Claude 4.5 Sonnet	641.3	719.3	655.3	670.7	751.7	676.8	643.9	725.9	664.4	673.7	758.3	684.8
Claude 4.5 Haiku	275.9	308.9	284.4	281.6	343.0	294.1	281.9	340.2	288.1	284.2	326.7	301.0
Claude 4.1 Opus	780.1	927.9	829.2	867.1	958.6	858.0	809.8	1065.8	830.3	873.1	966.2	911.6
Gemini 2.5 Pro	2742.4	2923.7	2581.8	2427.3	2770.0	2421.2	2873.2	2617.6	2765.1	2596.4	2970.1	2612.2
Gemini 2.5 Flash	1537.0	1461.4	1408.9	1661.7	1736.1	1717.4	1639.2	1494.7	1103.9	1300.8	2203.5	1862.3
Deepseek R1 0528	11540.0			10885.7			12101.0			10420.1		
Deepseek V3.2 Exp	2818.1			3188.3			3169.7			3291.9		
GLM 4.6	13152.2			9884.7			12973.9			5860.4		
Magistral Medium 2506	3986.7			2771.8			3459.6			3313.0		
Magistral Medium 2506 (thinking)	4998.6			3862.6			5158.2			3868.8		
MiniMax M2	4037.6			3786.8			4363.1			2905.4		
Llama 4 Maverick	589.7	1151.0	723.6	531.9	1176.2	763.7	1044.6	1102.3	786.7	915.0	1186.2	752.2
Llama 3.3 Nemotron Super 49B V1.5	3336.0			3280.8			3209.2			3189.8		
Kimi K2 0905	10250.8			7242.8			12295.6			8314.3		
Kimi K2 Thinking	26214.9			33906.9			32377.3			31062.2		

GPT-5 reasoning effort: minimal | text verbositiy: low	929.5	1603.9	1250.2	922.4	1516.0	1350.7	1146.2	1700.2	1127.1	1102.8	1306.7	1486.3
GPT-5 reasoning effort: low | text verbositiy: low	2099.3	2457.3	1868.0	2491.6	2708.9	2227.5	2430.0	2423.2	1600.1	2068.2	2847.6	1633.2
GPT-5 reasoning effort: medium | text verbositiy: low	3232.6	4177.6	2818.3	4084.4	5223.3	2853.7	3162.0	4716.9	2561.3	3266.8	4598.2	2548.3
GPT-5 reasoning effort: high | text verbositiy: low	3545.7	6989.7	4809.1	3433.6	9420.6	5892.3	3186.8	8703.9	5984.9	3142.0	8363.9	5628.1
GPT-5 reasoning effort: minimal | text verbositiy: medium	1059.5	1286.6	1334.4	789.6	1338.2	1426.9	798.7	1446.9	1246.2	733.0	1343.4	1231.7
GPT-5 reasoning effort: low | text verbositiy: medium	1695.5	3268.7	2611.4	1572.4	2889.7	2707.2	1448.3	2986.0	2196.4	1397.4	2992.5	2087.4
GPT-5 reasoning effort: medium | text verbositiy: medium	2515.6	4279.6	2675.8	2482.0	6031.3	2643.8	1894.2	4617.7	2352.6	2463.2	5415.3	2376.9
GPT-5 reasoning effort: high | text verbositiy: medium	4116.0	7216.6	4698.2	3829.3	8317.8	4380.7	3592.1	7359.3	4219.1	4100.9	6970.7	4355.7
GPT-5 reasoning effort: minimal | text verbositiy: high	818.4	1118.3	986.9	928.8	1125.7	1098.4	703.7	1131.0	1145.0	931.8	977.7	1026.0
GPT-5 reasoning effort: low | text verbositiy: high	1470.4	3308.9	2060.3	1654.6	2917.6	2351.5	2240.6	3245.8	1860.9	1419.6	2643.5	2111.7
GPT-5 reasoning effort: medium | text verbositiy: high	2496.3	4724.4	3102.6	3045.6	5032.7	3715.4	3459.8	4760.1	3735.9	2592.9	4898.3	3670.3
GPT-5 reasoning effort: high | text verbositiy: high	5020.9	8569.7	5562.5	5289.8	8614.7	5762.3	4747.9	8494.5	5724.7	4872.7	8031.7	5887.2
